Автор,Название,Жанр,Год издания,Тираж,Для мл. возраста,Для сред. возраста,Для старш. возраста,Примечания,Город,Пол автора
"Улуг-Заде, К.",Муким-гончар,Рассказ,1961,10000,,1,,,Душанбе,ж
"Усов, М.",Листья на снегу,Рассказы,1963,115000,,1,,,Москва,м
"Устюгов, А.","Леска, Пика и другие",Рассказы,1962,15000,1,1,,,Киров,м
"Фазин, З.",Впервые,Роман,1962,65000,,,1,,Москва,м
"Файнберг, В.",Морская книга,Повесть,1962,115000,,1,,,Москва,м
"Фарутин, К. ",Будни следопыта,Этюды и рассказы,1962,115000,,1,,,Москва,м
"Фарутин, М.",Медвяные росы,Повесть,1963,90000,,,1,,Москва,м
"Фарутин, М.",Солнечная гора,Рассказы,1962,100000,,1,1,,Москва,м
"Фатеев, А.",Новый отец,Повесть,1963,100000,,1,,,Симферополь,м
"Федин, К.",Рассказы,,1963,100000,,,1,,Москва,м
"Федоренко, И.",В дороге,Повесть,1961,15000,,1,1,,Свердловск,м
"Федоров, Л.",На белой тропе,Рассказы,1963,15000,,,1,,Свердловск,м
"Фец, А.",Прошка будет героем,Повесть,1962,90000,,1,,,Москва,м
"Фецина, О.",Все из-за Сережки,Рассказы,1961,2000,1,1,,,Йошкар-Ола,ж
"Фраерман, Р.","Дикая собака динг, или Повесть о первой любви",Повесть,1962,150000,,1,1,,Москва,м
"Фраерман, Р.","Дикая собака динг, или Повесть о первой любви",Повесть,1963,200000,,1,1,,Москва,м
"Фраерман, Р.","Дикая собака динг, или Повесть о первой любви",Повесть,1963,100000,,,1,,Свердловск,м
"Фраерман, Р.",Золотой Василек,Роман,1963,65000,,,1,,Москва,м
"Хазанович, Ю.",Свое имя,Повесть,1962,150000,,1,1,,Москва,м
"Хазанович, Ю.",Свое имя,Повесть,1963,50000,,,1,,Свердловск,м
"Ходжер, Г.",Правнук Дерсу Узала,Повесть,1962,30000,1,1,,,Хабаровск,м
"Холендро, Д.","Там, далеко",Рассказы,1962,15000,,1,1,,Симферополь,м
"Царев, А.",Неслух,Повесть,1963,25000,,1,,,Ульяновск,м
"Цилин, А.",Степка-сахалинец,Повесть,1962,60000,1,1,,,Ю-Сахалинск,м
"Цыбизов, В.",Необычайные происшествия в Пеньках,Повесть,1962,30000,,1,,,Смоленск,м
"Чаплина, В.",Бабушкины каникулы,Повесть и рассказы,1963,27000,,1,,,Чебоксары,ж
"Чаплина, В.",Николка и иголка,Повесть,1961,15000,,1,,,Чебоксары,ж
"Часовников, А.",Партизанский разведчик,Повесть,1961,25000,,1,,,Кострома,м
"Чаусов, Н.",Белый грач,Повесть для школьников,1963,30000,,1,,,Иркутск,м
"Чаусов, Н.",Степкина правда,Повесть,1963,75000,,1,,,Москва,м
"Чаусов, Н.",Черная борода,Повесть,1961,15000,,1,,,Иркутск,м
"Чепижный, А.",Мой друг Тимка,Рассказы,1962,30000,,1,,,Донецк,м
"Чеповецкий, Е.",Пятая палатка,Повесть,1961,65000,,1,,,Киев,м
"Чеповецкий, Е.",Твердые орешки,Повесть и рассказы,1963,115000,,1,,,Москва,м
"Чернин, М.",Ежик,Повесть,1961,115000,1,1,,,Москва,м
"Чичков, В.",Пепе - маленький кубинец,Повесть,1961,115000,,1,,х,Москва,м
"Чичков, В.",Пепе - маленький кубинец,Повесть,1963,150000,,1,,х,Москва,м
"Чкар, А.",Саранки,Рассказы,1963,15000,,1,,,Свердловск,м
"Чуковский, К.",Серебряный герб,Повесть,1961,100000,,1,,,Москва,м
"Шадрин, А.",Загадка индийской гривы,Рассказы,1960,30000,,1,,,Астрахань,м
"Шапошникова, С.",Зарянские капитаны,Рассказы,1962,115000,,1,,,Кишинев,ж
"Шастин, А.",Таежные звездочки,Повесть,1963,65000,,1,,,Москва,м
"Шатров, М.",Синий Маврикий,Повесть,1961,65000,,1,1,,Днепропетровск,м
"Шевелов, В.",Золотые клены,Повесть,1962,15000,,1,,,Кишинев,м
"Шевелов, В.",Мужчиной стать нелегко,Рассказы,1962,10000,,1,,,Кишинев,м
"Шевелов, В.",Смелый,"Рассказы, сказки, повести",1961,115000,1,1,,,Кишинев,м
"Шерешев, В.",Я еду в Африку,Повесть,1963,30000,,1,,,Симферополь,м
"Шестериков, П.",На всю жизнь,Рассказы,1962,30000,,1,1,,Минск,м
"Шкаровская, И.",Горнист первой базы,Рассказы,1962,115000,1,1,,,Киев,ж
"Шмушкевич, М.",Два Гавроша,Повесть,1962,115000,,1,,,Москва,м
"Шпажников, Б.",Запах земли. Дима-волгарь на реке Ишме,Рассказы,1963,150000,,1,,,Иваново,м
"Шуство, В.",Тайна горы Крутой,Повесть,1962,100000,,1,,,Свердловск,м
"Щеглов, Д.","Пятеро друзей, дядя Митя и маленький медвежонок","Не сказка, а удивительное происшествие",1962,115000,1,1,,,Москва,м
"Эгарт, М.",Два товарища,Повесть,1961,180000,,1,,,Москва,м
"Ющенко, В.",Берег трех тайн,Повесть,1963,15000,,1,,,Воронеж,м
"Яковлев, Ю.",Письма на листках календарей,Очерки,1961,55000,,1,1,х,Москва,м
"Яковлев, Ю.",Разбуженный соловьями,Рассказы,1963,115000,,1,,,Москва,м
"Ямпольский, Б.",Мальчик с Голубиной улицы,Повесть,1959,30000,,1,,,Москва,м
"Яновский, А.",Горнисты идут впереди,Повесть,1961,3000,,1,1,,Орел,м
"Ярочкин, Б.",По следам,Рассказы,1963,65000,,1,,,Москва,м
